l1,l2,alignment,wordform_l1,wordform_l2,neighbour_overlap,editdistance,k,n,Concept_ID,zipf_freq_l1,zipf_freq_l2,passes_concept_filter,passes_wiki_filter,pos_gloss,semantic_domain,nel_pos,global_semantic_density_l1,global_semantic_density_l2,local_semantic_density_l1,local_semantic_density_l2
en,av,0.1176805366039797,tree,гъветӏ,29.0,6,100,395,Baum::N,4.84,,True,False,Nouns,Agriculture and vegetation,N,0.1877391260277458,0.7767604672254612,74.15695478095961,306.8203845540572
en,av,0.1183355466787963,knife,нус,29.0,5,100,395,Messer::N,4.41,,True,False,Nouns,Food and drink,N,0.2011473930580972,0.7174281781786094,79.4532202579484,283.3841303805507
en,av,0.1194361933270699,and,ва,25.0,3,100,395,und::CNJ,7.41,,True,False,Conjuctions,Cognition,CNJ,0.2846243896675115,0.5808205480078409,112.42663391866704,229.4241164630972
en,av,0.1211388604890373,see,бихьизе,52.0,7,100,395,sehen::V,6.11,,True,False,Verbs,Sense perception,V,0.2037916730533628,0.7109462287119103,80.49771085607833,280.82376034120455
en,av,0.1244535548841113,length,халалъи,36.0,7,100,395,Länge::N,4.79,,True,False,Nouns,Spatial relations,N,0.1648460104826324,0.6696996242954096,65.11417414063982,264.5313515966868
en,av,0.1263984128539778,hay,хер,25.0,3,100,395,Heu::N,3.99,,True,False,Nouns,Agriculture and vegetation,N,0.1691210283931424,0.7305605133788676,66.80280621529126,288.57140278465266
en,av,0.129122128812771,bread,чед,39.0,5,100,395,Brot::N,4.51,,True,False,Nouns,Food and drink,N,0.2095191681451655,0.7076529163491603,82.76007141734037,279.5229019579183
en,av,0.1305679750232878,good,лъикӏаб,41.0,7,100,395,gut::A,6.12,,True,False,Adjectives,Emotions and values,A,0.2342189595539201,0.6995836869337939,92.51648902379844,276.3355563388486
en,av,0.133210258125854,correct,битӏараб,38.0,8,100,395,richtig::A,4.79,,True,False,Adjectives,Emotions and values,A,0.2085795936007423,0.6743320635005808,82.38893947229323,266.3611650827294
en,av,0.1333832302331203,so,гьедин,42.0,6,100,395,so::ADV,6.5,,True,False,Adverbs,Miscellaneous function words,ADV,0.2908317382000208,0.6902129678076879,114.87853658900822,272.63412228403683
en,av,0.1344431823273302,town,шагьар,26.0,6,100,395,Stadt::N,5.24,,True,False,Nouns,Social and political relations,N,0.1715367045438261,0.3669452712452554,67.75699829481131,144.94338214187587
en,av,0.1348357560952386,butter,нах,29.0,6,100,395,Butter::N,4.33,,True,False,Nouns,Food and drink,N,0.2103966391789535,0.6656146957922366,83.10667247568664,262.9178048379335
en,av,0.1348516165297435,still,жеги,37.0,5,100,395,noch::ADV,5.91,,True,False,Adverbs,Time,ADV,0.2523234768301914,0.6594263613612648,99.66777334792565,260.4734127376996
en,av,0.135083889680533,road,нух,28.0,4,100,395,Straße::N,5.21,,True,False,Nouns,Motion,N,0.1698164054171916,0.6717489511113726,67.07748013979071,265.3408356889922
en,av,0.1351054884729452,touch,хъвазе,36.0,6,100,395,berühren::V,4.88,,True,False,Verbs,Sense perception,V,0.2256387648040671,0.6411852839047626,89.1273120976065,253.26818714238124
en,av,0.1362343539641018,village,росу,30.0,7,100,395,Dorf::N,4.88,,True,False,Nouns,Social and political relations,N,0.1511813918256206,0.4916523808098863,59.71664977112015,194.20269041990508
en,av,0.1365507164856831,campfire,цӏа,33.0,8,100,395,Lagerfeuer::N,3.04,,True,False,Nouns,Basic actions and technology,N,0.2112621629672513,0.6945853727090094,83.44855437206427,274.3612222200586
en,av,0.136640665939101,mouth,кӏал,39.0,5,100,395,Mund::N,4.84,,True,False,Nouns,The body,N,0.2107845821059419,0.5903410492216943,83.25990993184706,233.1847144425693
en,av,0.1372857190020738,we,ниж,37.0,3,100,395,wir::PRN,6.5,,True,False,Pronouns,Kinship,PRN,0.2518478902307995,0.6157890102043244,99.4799166411658,243.23665903070813
en,av,0.1377155703034751,human,чи,32.0,5,100,395,Mensch::N,5.4,,True,False,Nouns,Kinship,N,0.1808366137884131,0.5212963133973378,71.43046244642319,205.91204379194843
en,av,0.1392038150389538,god,аллагь,42.0,6,100,395,Gott::N,5.67,,True,False,Nouns,Social and political relations,N,0.2133051371206557,0.6172763172798859,84.25552916265903,243.8241453255549
en,av,0.1394218528216285,enter,лъугьине,50.0,8,100,395,eintreten::V,4.86,,True,False,Verbs,Motion,V,0.1997963633545075,0.7299045127008947,78.91956352503047,288.31228251685343
en,av,0.1397021814401599,sea,ралъад,35.0,6,100,395,Meer::N,5.14,,True,False,Nouns,The physical world,N,0.1814518234925239,0.5393892688578273,71.67347027954696,213.0587611988417
en,av,0.1401692076504624,fresh,цӏияб,29.0,5,100,395,frisch::A,4.82,,True,False,Adjectives,The physical world,A,0.2055603085627835,0.5982055049582685,81.19632188229949,236.29117445851608
en,av,0.1402532240842562,friend,гьудул,37.0,6,100,395,Freund::N,5.39,,True,False,Nouns,Social and political relations,N,0.2249132977655336,0.7202522938918657,88.84075261738579,284.4996560872869
en,av,0.1420549182346523,get,щвезе,59.0,5,100,395,bekommen::V,6.26,,True,False,Verbs,Possession,V,0.2627864709716966,0.6947782756179872,103.8006560338202,274.43741886910493
en,av,0.142737572771565,can,лъазе,34.0,5,100,395,können::V,6.45,,True,False,Verbs,Basic actions and technology,V,0.221481638869172,0.7552818184082274,87.48524735332295,298.3363182712498
en,av,0.1437044506083479,mountain,мегӏер,32.0,8,100,395,Berg::N,4.74,,True,False,Nouns,The physical world,N,0.184272715463205,0.6947390285287004,72.787722607966,274.42191626883664
en,av,0.1438282181853407,moon,моцӏ,18.0,4,100,395,Mond::N,4.72,,True,False,Nouns,The physical world,N,0.198411632825807,0.5595676237601257,78.37259496619376,221.0292113852496
en,av,0.1449598507447298,medicine,дару,23.0,8,100,395,Arznei::N,4.7,,True,False,Nouns,The body,N,0.1581090046119141,0.6606114562696999,62.45305682170606,260.94152522653144
en,av,0.145428779090057,head,бетӏер,26.0,6,100,395,Kopf::N,5.52,,True,False,Nouns,The body,N,0.1914362556193562,0.6731577199904315,75.6173209696457,265.89729939622043
en,av,0.1461978303298584,tail,рачӏ,38.0,4,100,395,Schwanz::N,4.35,,True,False,Nouns,The body,N,0.1934707773309334,0.6894738613166355,76.42095704571872,272.342175220071
en,av,0.1479363718317688,drink,гьекъезе,37.0,8,100,395,trinken::V,4.92,,True,False,Verbs,Food and drink,V,0.2159501458803512,0.7535981931707174,85.30030762273873,297.6712863024334
en,av,0.1508527398920838,heart,ракӏ,31.0,5,100,395,Herz::N,5.33,,True,False,Nouns,The body,N,0.2121169508489633,0.6823114793471106,83.78619558534052,269.5130343421086
en,av,0.1515349938111035,letter,кагъат,35.0,6,100,395,Brief::N,4.98,,True,False,Nouns,Modern world,N,0.1720736945818652,0.7703787390464389,67.96910935983675,304.2996019233434
en,av,0.1520037646415981,wish,къасд,38.0,5,100,395,Wunsch::N,5.19,,True,False,Nouns,Emotions and values,N,0.2349270545300102,0.7266761766396227,92.79618653935404,287.037089772651
en,av,0.1522323316734756,book,тӏехь,24.0,5,100,395,Buch::N,5.4,,True,False,Nouns,Speech and language,N,0.1992589793363364,0.7189138316507234,78.70729683785288,283.97096350203583
en,av,0.1542781812413645,there,гьениб,41.0,6,100,395,dort::ADV,6.33,,True,False,Adverbs,Miscellaneous function words,ADV,0.2316348146696618,0.6774980004259691,91.49575179451644,267.61171016825784
en,av,0.1545008667391272,read,цӏализе,41.0,7,100,395,lesen::V,5.49,,True,False,Verbs,Speech and language,V,0.2303237040480554,0.7641268648973129,90.97786309898191,301.83011163443865
en,av,0.1547490479039591,new,цӏияб,25.0,5,100,395,neu::A,6.25,,True,False,Adjectives,Time,A,0.1790193254811172,0.5982055049582685,70.7126335650413,236.29117445851608
en,av,0.1560752472274719,honey,гьоцӏо,23.0,6,100,395,Honig::N,4.38,,True,False,Nouns,Food and drink,N,0.2100176992639414,0.7634365158281419,82.95699120925688,301.55742375211605
en,av,0.1565091930930738,pain,унти,38.0,4,100,395,Schmerz::N,5.01,,True,False,Nouns,Emotions and values,N,0.1911373822503373,0.7410337874576886,75.49926598888327,292.708346045787
en,av,0.157742148330672,happiness,талихӏ,33.0,9,100,395,Glück::N,4.46,,True,False,Nouns,Emotions and values,N,0.2091668560977015,0.7422104396874426,82.62090815859213,293.17312367653983
en,av,0.1594192657314256,night,сордо,30.0,5,100,395,Nacht::N,5.62,,True,False,Nouns,Time,N,0.2297308877757529,0.7149038309395238,90.7437006714224,282.3870132211119
en,av,0.1598803621189136,feel,чӏвазе,39.0,6,100,395,fühlen::V,5.65,,True,False,Verbs,Basic actions and technology,V,0.2318573198011304,0.7638493075151707,91.58364132144652,301.7204764684924
en,av,0.1608941604181523,south,юг,39.0,5,100,395,Süden::N,5.39,,True,False,Nouns,Spatial relations,N,0.1687757627634738,0.3135549048091933,66.66642629157218,123.85418739963136
en,av,0.1610062820769515,oil,нах,26.0,3,100,395,Öl::N,5.08,,True,False,Nouns,Food and drink,N,0.1627258006764005,0.6656146957922366,64.27669126717822,262.9178048379335
en,av,0.1624342860408435,thing,жо,44.0,5,100,395,Sache::N,5.69,,True,False,Nouns,Possession,N,0.263941035098003,0.6695199664839675,104.2567088637112,264.4603867611672
en,av,0.1630497219629764,animal,хӏайван,40.0,7,100,395,Tier::N,4.82,,True,False,Nouns,Animals,N,0.1980963369729574,0.5862277309361893,78.24805310431817,231.5599537197948
en,av,0.1635030802224813,happen,лъугьине,44.0,8,100,395,passieren::V,5.16,,True,False,Verbs,Basic actions and technology,V,0.2569704074004707,0.7299045127008947,101.50331092318592,288.31228251685343
en,av,0.1647164175109647,people,гӏадамал,19.0,8,100,395,Leute::N,6.23,,True,False,Nouns,Social and political relations,N,0.1819180851832146,0.6811639089614953,71.85764364736978,269.0597440397906
en,av,0.1661375673769247,lift,борхизе,40.0,7,100,395,hochheben::V,4.49,,True,False,Verbs,Motion,V,0.2031118190207533,0.7281657054136245,80.22916851319756,287.6254536383817
en,av,0.1680522729628325,silver,гӏарац,38.0,6,100,395,Silber::N,4.76,,True,False,Nouns,Basic actions and technology,N,0.1638532148630556,0.5399930635348773,64.72201987090696,213.2972600962765
en,av,0.1680919122004587,go,ине,46.0,3,100,395,gehen::V,6.05,,True,False,Verbs,Motion,V,0.2396227865274341,0.7586139966410581,94.65100067833647,299.65252867321794
en,av,0.1682638536049217,how,кин,46.0,3,100,395,wie::FADV,6.2,,True,False,Wh Words: How?; Why?; Where?; What?; Who?,Cognition,FADV,0.2426107627940181,0.6243458527586792,95.83125130363716,246.61661183967823
en,av,0.168462868692607,receive,щвезе,57.0,7,100,395,erhalten::V,4.81,,True,False,Verbs,Possession,V,0.1960828923432837,0.6947782756179872,77.45274247559708,274.43741886910493
en,av,0.1732320179288115,under,гъоркь,24.0,6,100,395,unter::PRP,5.78,,True,False,Prepositions,Spatial relations,PRP,0.1562256077270598,0.4819137683115136,61.70911505218864,190.35593848304785
en,av,0.1751188148439937,companion,гьалмагъ,23.0,9,100,395,Kamerad::N,4.09,,True,False,Nouns,Social and political relations,N,0.1722287671596946,0.7358841910846884,68.03036302807939,290.67425547845187
en,av,0.1775149569639149,edge,рагӏал,33.0,6,100,395,Kante::N,4.74,,True,False,Nouns,Spatial relations,N,0.191925878410612,0.6883991238971854,75.8107219721918,271.91765393938823
en,av,0.1776779555843843,sister,яц,35.0,6,100,395,Schwester::N,4.96,,True,False,Nouns,Kinship,N,0.1716928979515366,0.7495939315047194,67.81869469085697,296.08960294436423
en,av,0.1785766590578739,ear,гӏин,39.0,4,100,395,Ohr::N,4.41,,True,False,Nouns,The body,N,0.205937667096849,0.6894160657265097,81.34537850325538,272.3193459619713
en,av,0.1806244399663549,dream,макьу,32.0,5,100,395,Traum::N,4.9,,True,False,Nouns,The body,N,0.210322205150886,0.7301446227020172,83.07727103460003,288.40712596729685
en,av,0.1808955425267905,sound,гьаракь,19.0,7,100,395,Laut::N,5.14,,True,False,Nouns,Sense perception,N,0.1825843590332564,0.6689484550687551,72.1208218181363,264.2346397521584
en,av,0.1810739249392221,chop,чӏвазе,36.0,6,100,395,hacken::V,3.74,,True,False,Verbs,Basic actions and technology,V,0.202991984860776,0.7638493075151707,80.1818340200065,301.7204764684924
en,av,0.1811432590623392,teach,малъизе,45.0,7,100,395,lehren::V,4.64,,True,False,Verbs,Cognition,V,0.2007538345634277,0.7628037213512951,79.29776465255397,301.30746993376147
en,av,0.181973209275732,make,гьабизе,62.0,7,100,395,machen::V,6.05,,True,False,Verbs,Basic actions and technology,V,0.2407706859805118,0.614438858301646,95.10442096230216,242.70334902915016
en,av,0.1834012372125509,bull,оц,25.0,4,100,395,Bulle::N,4.34,,True,False,Nouns,Animals,N,0.1640374271276143,0.6947020445003744,64.79478371540765,274.4073075776479
en,av,0.1846358787549393,life,яшав,34.0,4,100,395,Leben::N,5.89,,True,False,Nouns,The body,N,0.2068072789588531,0.7197702976309087,81.68887518874699,284.30926756420894
en,av,0.1854138745880818,thirty,лъеберго,21.0,8,100,395,dreißig::NUM,4.4,,True,False,Numerals,Quantity,NUM,0.2037424827748298,0.7483628866788619,80.4782806960578,295.60334023815045
en,av,0.185626330553584,find,батизе,57.0,6,100,395,finden::V,5.74,,True,False,Verbs,Possession,V,0.2366567275882001,0.7521992011756973,93.47940739733902,297.1186844644004
en,av,0.1866249947977198,nose,мегӏер,41.0,6,100,395,Nase::N,4.53,,True,False,Nouns,The body,N,0.2125941458664194,0.6947390285287004,83.97468761723569,274.42191626883664
en,av,0.1899551575119064,once,цин,33.0,4,100,395,einst::ADV,5.53,,True,False,Adverbs,Time,ADV,0.2746482562469948,0.7434693513452839,108.48606121756296,293.6703937813872
en,av,0.1902926408768931,coast,рагӏал,17.0,6,100,395,Küste::N,4.89,,True,False,Nouns,The physical world,N,0.1691872084656777,0.6883991238971854,66.8289473439427,271.91765393938823
